company_name,linkedin_url,description,company_name_norm,fleet_size
ASKY Airlines,https://linkedin.com/company/asky-airlines-pan-african-airlines,"ASKY is a commercial company under private law and is managed by experienced African aviation professionals, with Ethiopian airlines as its strategic partner.",asky airlines,
ASL Airlines,https://linkedin.com/company/asl-aviation-holdings-dac,"ASL Aviation Holdings, a global aviation services company with eight airlines based in Europe, South Africa, Asia and Australia, is a world leader in ACMI ...",asl airlines,
Asman Airlines,https://linkedin.com/company/asman-airlines,"Asman Airlines | 259 followers on LinkedIn. Asman Airlines is a new state airline of the Kyrgyz Republic, based in Manas International Airport | Coming soon ...",asman airlines,
Aspen Helicopters,https://linkedin.com/company/aspen-helicopters-inc-,"From aerial surveys, to executive charter, fire control, external load, and agriculture experience, Aspen has a variety of airplanes and helicopters available.",aspen helicopters,
Asta Linhas Aereas,https://linkedin.com/company/asta-linhas-aereas,ASTA Linhas Aereas | 8231 followers on LinkedIn. As asas do Mato Grosso. | Empresa aérea genuinamente mato-grossense. Transporte aéreo regional.,asta linhas aereas,
Astonfly,https://linkedin.com/company/astontec,"Astontec is an aircraft maintenance company, with EASA Part M.G & Part M.F agreements. We maintain A wide range of aircraft such as Cessna, Beechcraft, ...",astonfly,
Astonjet,https://linkedin.com/company/astonjet-ownership-private-jet-company,"ASTONJET : Compagnie Aérienne d'Avions Privés. L'aviation d'affaires selon ASTONJET, est très certainement aujourd'hui la façon la plus efficace et la plus é ...",astonjet,
Astral Aviation,https://linkedin.com/company/astral-aviation-ltd,"Astral Aviation provides reliable and cost-effective airfreight solutions using a combination of schedule and charter flights within its Intra-African, Middle ...",astral aviation,
ATA Airlines,https://linkedin.com/company/ataairlinesofficial,Airlines and Aviation · Report this company · Close menu. View all 13 employees. About us. Website: https://www.ataair.ir/fa-IR/portal ...,ata airlines,
ATI Jet,https://linkedin.com/company/flyjetvia,"Jetvia provides 24/7, luxury flight services with the highest possible safety and security standards.",ati jet,
Atlanta Air Charter,https://linkedin.com/company/atlanta-air-charter-inc.,"Atlanta Air Charter, Inc. offers on-demand 24/7, flexible scheduling. Drive directly to your aircraft or we fly to you. With our fleet of four King Air ...",atlanta air charter,
Atlantic Airways,https://linkedin.com/company/atlanticairways,"Atlantic Airways is an international airline based in the Faroe Islands. Known for its focus on safety, punctuality, customer service and its professional ...",atlantic airways,
Atlantic Flight Training Academy,https://linkedin.com/company/atlantic-flight-training-academy,Atlantic Flight Training Academy is one of Europe's leading independent Flight Training Organisation for Aviation Personnel.,atlantic flight training academy,
Atlas Air,https://linkedin.com/company/atlas-air,"Atlas Air Worldwide is a leading global provider of outsourced aircraft and aviation operating services. It is the parent company of Atlas Air, ...",atlas air,
Atlas Air,https://linkedin.com/company/atlas-air,Atlas Air Worldwide is a leading global provider of outsourced aircraft and aviation operating services. It is the parent company of Atlas ...,atlas air,
Atlas Air Service,https://linkedin.com/company/atlas-air-service-ag,"One of Europe's largest FULL SERVICE provider for BUSINESS JETS: Sales, Maintenance, Charter, Aircraft Management, NDT.",atlas air service,
ATM Information Service Japan,https://linkedin.com/company/jcab-mlit,"The Japan Civil Aviation Bureau (JCAB) is one of the bureaus of the Ministry of Land, Infrastructure, Transport and Tourism (MLIT) of Japan.",atm information service japan,
Atmospherica Aviation,https://linkedin.com/company/ctr-atmospherica-aviation/,"CTR Atmospherica Aviation as, the experienced private jet operator with its own fleet. https://atmospherica.aero/",atmospherica aviation,
ATP Flight School,https://linkedin.com/company/atp-jets,ATP Jets is a DFW-based simulator training center offering the Airline Transport Pilot Certification Training Program (ATP CTP) and initial type rating and ...,atp flight school,
ATR,https://linkedin.com/company/atr-aircraft,"With over 40 years of expertise, ATR is the leader in the regional aviation market, designing, manufacturing, and supporting the lowest emission turboprops.",atr,
Atran,https://linkedin.com/company/atran-inc-,"Atran takes great pride in providing comprehensive, old-fashioned customer service for Truckload and LTL shipments into, out of, and throughout the Midwest for ...",atran,
Atsa Airlines,https://linkedin.com/company/atsa-per%C3%BA,"Somos el único operador de ambulancias aéreas que cuenta con un seguro de mala praxis por USD 1 Millón. °ATSA Airlines - Vuelos Regulares a 5 destinos, Mazamari ...",atsa airlines,
Auckland Rescue Helicopter,https://linkedin.com/company/auckland-rescue,The Auckland Westpac Rescue Helicopter was established in 1970 and is believed to be the first civilian aero-medical operation of its kind in the world.,auckland rescue helicopter,
Auric Air,https://linkedin.com/company/auric-air-services-limited/,"Providing Private Air Charter Services as well as Scheduled Flights since 2001. The company flies Daily to: Dar-es-salaam, Zanzibar, Pemba (TZ), Tanga, ...",auric air,
Aurigny Air Services,https://linkedin.com/company/aurignyairservices,"Aurigny is owned by the States of Guernsey, and our network includes services to destinations across the UK and in Europe. We operate regular flights to London ...",aurigny air services,
Aurora,https://linkedin.com/company/auroradriver,"Aurora (Nasdaq: AUR) is delivering the benefits of self-driving technology safely, quickly, and broadly to make transportation safer, more reliable, and more ...",aurora,
Aurora Flight Sciences,https://linkedin.com/company/auroraflightsciences,"Aurora Flight Sciences, a Boeing Company, advances the future of flight by developing and applying innovations across aircraft configurations.",aurora flight sciences,
Australia - Customs,https://linkedin.com/company/auscuspro,"Based in Brisbane, Australia, we are a 100% Australian-owned company committed to delivering efficient, reliable, and cost-effective logistics services.",australia - customs,
Australia - Federal Police,https://linkedin.com/company/australian-federal-police,The Australian Federal Police (AFP) is a progressive and multi-faceted law enforcement organisation taking a strong lead in the fight against 21st century ...,australia - federal police,
Australia - Royal Australian Air Force,https://linkedin.com/company/ausairforce,The Royal Australian Air Force is a world-class military force operating some of the most advanced aircraft and defence technology in use anywhere today.,australia - royal australian air force,
Austria - Air Force,https://linkedin.com/company/austrian-air-force,Austrian Air Force · 항공 및 항공술 · 소개 · Austrian Air Force 직원 · 비슷한 페이지 · 로그인해서 Austrian Air Force에서 아는 사람을 확인해 보세요. · 어서오세요!,austria - air force,
Austrian Airlines,https://linkedin.com/company/austrian-airlines,Austrian Airlines is Austria's leading airline with over 60 years of aviation experience and a worldwide route network of more than 120 destinations.,austrian airlines,
Av8Jet,https://linkedin.com/company/av8jet-ltd,"Full Sales, Acquisition and Management of Private Jets. Producers of the Av8jet Safety Management System. Sister company to Av8jet Charter Ltd based in Sliema, ...",av8jet,
AVA Airlines,https://linkedin.com/company/avaairways/,"Ava Airways is an international airline carrier with scheduled flight plans between North America, South America, Central America, and Caribbean destinations.",ava airlines,
Avalair Aircraft Management,https://linkedin.com/company/tidal-aviation,Offering expert guidance with - Aircraft purchasing - Aircraft management - Pilot services - Cirrus factory flight training - Aircraft Leasing - And more...,avalair aircraft management,
Avanti Air,https://linkedin.com/company/avanti-air,Avantiair is an an airline operating one Dash8-Q400 on ACMI and charter bases. Homebase of the aircraft is Mönchengladbach Airport (EDLN/MGL) and ...,avanti air,
AvCenter,https://linkedin.com/company/avcenter-inc,"AvCenter Inc. is a premium jet aircraft charter & private air charter company providing safe, reliable charter & aircraft management services. We specialize in ...",avcenter,
Avcon Jet,https://linkedin.com/company/avconjet/,Avcon Jet is one of Europe's major business aviation companies offering a wide array of services. We operate more than 100 aircraft worldwide.,avcon jet,
Avelo Airlines,https://linkedin.com/company/avelo-airlines,"Avelo Airlines was founded with a simple purpose — to Inspire Travel. With every day low fares and a culture of caring, people are at the center of everything ...",avelo airlines,
Avia Traffic,https://linkedin.com/company/kyrgyzstan-airlines,Avia Traffic Company · SpaceBee Airlines. Airlines and Aviation · Business Aviation Asia Ltd. Business Consulting and Services · QAZAQ AIR. Aviation and Aerospace ...,avia traffic,
Aviacon Zitotrans,https://linkedin.com/company/aviacon-zitotrans,Web Sitesi: http://www.aviacon.ru. Aviacon Zitotrans için harici link. Sektör: Hava Yolları ve Havacılık. Şirket büyüklüğü: 201 - 500 çalışan.,aviacon zitotrans,
Avianca,https://linkedin.com/company/avianca,BIenvenido al sitio oficial! Avianca es la primera aerolínea comercial fundada en las Américas y la segunda en el mundo.,avianca,
Avianca Cargo,https://linkedin.com/company/aviancacargo/,"Brindamos un servicio de transporte de carga de aeropuerto a aeropuerto a través de nuestros centros de conexión en San Salvador (El Salvador), Lima (Perú) y ...",avianca cargo,
Aviaservice,https://linkedin.com/company/aviaservice,Aviaservice · Airlines and Aviation · About us · Locations · Employees at Aviaservice · Similar pages · Browse jobs · Sign in to see who you already know at ...,aviaservice,
Aviastar,https://linkedin.com/company/aviastar-tu-airlines,"Aviastar-TU is one of the leading cargo airlines with a reliable reputation in the air cargo market. We develop the business working continuously on quality, ...",aviastar,
Aviastar-TU,https://linkedin.com/company/aviastar-tu-airlines,"Aviastar-TU is one of the leading cargo airlines with a reliable reputation in the air cargo market. We develop the business working continuously on quality, ...",aviastar-tu,
Aviation Adventures,https://linkedin.com/company/aviation-adventures,"Our instructors are experienced, well-qualified pilots who love to share the gift of flight with others. We have both full-time and part-time instructors.",aviation adventures,
Aviation Advisor,https://linkedin.com/company/aviation-advisor-inc-,"Aviation Advisor, Inc. is the premier private aviation solutions firm offering Aircraft Management, Executive Air Charter, and Aviation Consulting Services.",aviation advisor,
Aviation Défense Service,https://linkedin.com/company/aviation-d-fense-service,"Aviation Défense Service (AVdef) | 1727 followers on LinkedIn. Provide air services with aircraft fleet, owned, maintained and operated by the company ...",aviation défense service,
Aviation Horizons,https://linkedin.com/company/aviation-horizons-ltd-,"Aviation Horizon Ltd is a 121-SN privet Jet Operator a well established company based in Jeddah, Saudi Arabia registered under the GACA (General Authority ...",aviation horizons,
Aviation Services Management,https://linkedin.com/company/aviation-services-management,"Established in the United Kingdom – ASM ventured into the United Arab Emirates, operating and delivering aviation services network around the world.",aviation services management,
Aviator College,https://linkedin.com/company/floridaflyers,The flight school and airline flight academy Florida Flyers is a modern Sunshine State training facility. We are top rated and are the only flight school ...,aviator college,
Aviator Zone Academy,https://linkedin.com/company/aviator-zone-academy,We offer Part 61 and Part 141 flight training as well as various certifications and endorsements. Join us and experience the difference at Aviator Zone Academy.,aviator zone academy,
AVIATOR.S5,https://linkedin.com/company/aviator-s5-ltd,AVIATOR.S5 Ltd. Airlines and Aviation. A young and dynamic force in the world of business aviation setting the highest standards in quality and performance.,aviator.s5,
Aviatsa,https://linkedin.com/company/aviatsa,"As a charter airline, AVIATSA is dedicated to amplifying your tourism business by providing unmatched access, convenience, and personalized service.",aviatsa,
Avincis,https://linkedin.com/company/avincis,Avincis | 22014 followers on LinkedIn. One of the world's leading emergency aerial services operators. Our mission is to save lives and protect communities.,avincis,
Avion Express,https://linkedin.com/company/avion-express,"Avion Express is the leading narrow-body ACMI and charter operator successfully working with clients in Europe as well as Africa, Asia-Pacific, South America.",avion express,
Avionco,https://linkedin.com/company/avionco-canada-ltd,"We've been making a difference in the business of flight for over 20 years. We operate globally delivering best in class services to the Commercial, Corporate ...",avionco,
Avionord,https://linkedin.com/company/avionord-s.r.l./,Avionord is an executive airline company base in Milan Linate. Our fleet includes Learjet 40s and 45s and a Challenger 604.,avionord,
Avior Airlines,https://linkedin.com/company/avior-airlines,"En Avior Airlines, somos una aerolínea venezolana que inició operaciones en 1994, y ofrecemos servicios de transporte de pasajeros y carga a nivel nacional ...",avior airlines,
Aviostart,,,aviostart,
AWA,https://linkedin.com/company/awagroup/,"AWA is a leading intellectual property firm with 400+ employees across 20 offices in Belgium, China, Denmark, Hong Kong, Norway, Sweden and Switzerland.",awa,
Awesome Cargo,https://linkedin.com/company/awesomecargo,"Our goal is to give solutions to the needs and wants of the air freight end users, making sure they feel satisfied through systematic measurememts, ...",awesome cargo,
Axio,https://linkedin.com/company/axio,"Axio is the leader in SaaS-based cyber management software, which empowers security leaders to build and optimize security programs and quantify risk in ...",axio,
AXIS Aviation,https://linkedin.com/company/axis-aviation,"AXIS Aviation is an executive aircraft operation and asset management provider. With our innovative, proprietary data platform, we make aircraft management ...",axis aviation,
Ayit Aviation,https://linkedin.com/company/ayit-aviation,"The company operates flights for photography, supervision, and touring purposes, transport flights in Israel and flights around the world, executive flights and ...",ayit aviation,
Azerbaijan Airlines,https://linkedin.com/company/azal-azerbaijan-airlines,Azerbaijan Airlines (AZAL) is a major air carrier and one of the leaders in the aviation community of the CIS countries with the most modern aircraft fleet.,azerbaijan airlines,
Azimuth,https://linkedin.com/company/azimuth-grc,"Azimuth is a regulatory technology company that has revolutionized the world of regulatory compliance, helping companies in heavily regulated industries comply ...",azimuth,
Azman Air,https://linkedin.com/company/azmanair,Azman Air is one of the fastest growing privately owned Nigerian Airline founded in 2010. Azman Air has dominated local and international carriers.,azman air,
Azores Airlines,https://linkedin.com/company/sata/,O Grupo SATA é hoje um grupo de empresas que desenvolve atividades relacionadas com o transporte aéreo de passageiros e carga. Para além de duas companhias ...,azores airlines,
Aztec Airways,https://linkedin.com/company/aztecairways,Aztec Airways is a scheduled commuter airline renowned for its commitment to easy and safe semi-private travel to the Bahamas.,aztec airways,
Azul,https://linkedin.com/company/azul-systems,"Azul is the only company 100% focused on Java, delivering the most trusted Java platform to the modern cloud enterprise. We provide the world's ...",azul,
Azul Conecta,https://linkedin.com/company/azulconecta/,"A Azul Conecta é uma Unidade de Negócio subsidiária da Azul Linhas Aéreas dedicada à aviação regional, conectando mais de 80 destinos em todo o Brasil.",azul conecta,
Azur Air,https://linkedin.com/company/azur-aviation/,"Azur Aviation provide Ferry Flight and Aircraft Delivery Services for Lessor's companies , private owner & bank. Our flight division provides 24/7 customer ...",azur air,
Azure Aviation,https://linkedin.com/company/azure-air-aviation-technology-co.-ltd,"Azure Air Aviation provides customers professional services such as aircraft design / maintenance consulting, major alteration / repair blurprint and ...",azure aviation,
BAA Training,https://linkedin.com/company/uab-baa-training,"A global aviation training organization delivering both Ab Initio and Type Rating training. BAA Training operates simulator centers in Spain, France, Lithuania ...",baa training,
Babcock,https://linkedin.com/company/babcock-international-group,"Babcock is a FTSE 100 defence company operating in our focus countries of the UK, Australasia, Canada, France and South Africa, with exports to additional ...",babcock,
Baden Aircraft Operations,https://linkedin.com/company/avangard-aviation-gmbh,Avangard Aviation is a full-service aircraft engineering and technical center. Operating under Part 145 Maintenance Organization Approval Certificate.,baden aircraft operations,
Badr Airlines,https://linkedin.com/company/bdrairlines/,BADR AIRLINES mainly engaged in passenger and cargo transportation and occasionally provides chartered VIP flights. Website: http://www.badrairlines.com.,badr airlines,
BAe Systems,https://linkedin.com/company/bae-systems,"At BAE Systems, we help our customers to stay a step ahead when protecting people and national security, critical infrastructure and vital information.",bae systems,
BAE Systems,https://linkedin.com/company/bae-systems,"We provide some of the world's most advanced, technology-led defence, aerospace and security solutions and employ a skilled workforce of 107,000 people in more ...",bae systems,
Bahamasair,https://linkedin.com/company/bahamasair-holdings-limited,"Bahamasair is the National Flag Carrier of The Bahamas, established in 1973 along with the new independent Commonwealth of The Bahamas.",bahamasair,
Bahrain Royal Flight,https://linkedin.com/company/royal-wings-aviation,Royal Wings is the leading flight support services provider specialized in servicing corporate charter and commercial flight operations.,bahrain royal flight,
Bairline,https://linkedin.com/company/bairline-fluggesellschaft-mbh-&-co.-kg,"Bairline Fluggesellschaft mbH & Co. KG. Airlines and Aviation. With a concept made in Bavaria, Bairline represents what Business Aviation is meant to be!",bairline,
Baker Aviation,https://linkedin.com/company/baker-aviation,"Based in Fort Worth with a growing aircraft fleet, Baker Aviation is a family-owned and operated private aircraft charter, management and maintenance ...",baker aviation,
Bamboo Airways,https://linkedin.com/company/bamboo-airways-vietnam,"Bamboo Airways - More than just a flight! Aiming to bring the flying dream closer to all Vietnamese people and foreign tourists, we offer very flexible and ...",bamboo airways,
Bangkok Airways,https://linkedin.com/company/bangkok-airways/,About us. Operating reginal air services from Thailand to South East Asian cities. Website: https://www.bangkokair.com. External link for Bangkok Airways.,bangkok airways,
BankAir,https://linkedin.com/company/bankair-inc,"Bankair is charter operator based in Columbia, SC. We provide jet aircraft to passengers and cargo. Website: http://bankair.com/. External link ...",bankair,
Bar XH Air,https://linkedin.com/company/bar-xh-air-inc-,"Canadian air charter service based in Medicine Hat and Calgary, Alberta, Canada offering air charter, air ambulance, scheduled flight services.",bar xh air,
Bartolini Air,https://linkedin.com/company/bartolini-air,Bartolini Air is a group of aviation companies. We run the largest Central European flight training organization for professional pilots and an EASA-compliant ...,bartolini air,
Bassaka Air,https://linkedin.com/company/bassaka-air,Bassaka Air is a scheduled and charter airline based in Phnom Penh providing both domestic and international services. Website: http://www.bassakaair.com.,bassaka air,
Batik Air,https://linkedin.com/company/pt-batik-air-indonesia,Site web: https://www.batikair.com/en/. Lien externe pour PT Batik Air Indonesia. Secteur: Transport aérien. Taille de l'entreprise: 1 001-5 000 employés.,batik air,
BBN Airlines,https://linkedin.com/company/bbn-airlines-indonesia,"BBN Airlines Indonesia is a part of BBN Cargo Airlines, an Indonesia-based cargo airline that has operated since 1999. The company is a subsidiary of Avia ...",bbn airlines,
BBN Airlines Indonesia,https://linkedin.com/company/bbn-airlines-indonesia,"BBN Airlines Indonesia is a part of BBN Cargo Airlines, an Indonesia-based cargo airline that has operated since 1999. The company is a subsidiary of Avia ...",bbn airlines indonesia,
Beijing Airlines,https://linkedin.com/company/beijing-capital-airlines-co-ltd-,"With Beijing Capital International Airport as its main hub, we currently operate 125 routes, including 111 domestic routes and 14 international routes with ...",beijing airlines,
companies_name,https://linkedin.com/company/techasoft-pvt-ltd,Techasoft Pvt. Ltd is one of the fast growing IT companies that provide a holistic IT solution to businesses across geographies.,companies_name,
Belavia,https://linkedin.com/company/belavia---belarusian-airlines,"Belavia - Belarusian Airlines is the flag carrier of the Republic of Belarus. IATA member, IOSA certified, member of ERAA. Belavia offers about 20 scheduled ...",belavia,
Belgium - Air Force,https://linkedin.com/company/belgian-air-force/,Belgian Air Force · Government Administration · About us · Employees at Belgian Air Force · Similar pages · Sign in to see who you already know at Belgian Air ...,belgium - air force,
Belgium - Navy,https://linkedin.com/company/belgian-navy,"Exercise of sovereignty in the maritime zones where the Navy is qualified, defense of the lines maritime of communication, main roads and allied, and ...",belgium - navy,
Bell Helicopter,https://linkedin.com/company/bell-flight,"Thinking above and beyond is what we do. For more than 85 years, we've been reimagining the experience of flight – and where it can take us.",bell helicopter,
BellAir,https://linkedin.com/company/bellair-logistics-and-supply-chain,Bellair provides 24/7 Logistics and Warehousing Services. Headquartered in the Chicagoland area with a strong national presence.,bellair,
Bemidji Aviation,https://linkedin.com/company/aircorps-aviation-llc,"AirCorps Aviation is known for our award-winning restorations of WWII aircraft, but we also offer full service support to the aerospace industry.",bemidji aviation,
Benin Airlines,https://linkedin.com/company/airtaxibenin,BENIN AIRLINES est la seule compagnie de droit Béninois opérant des vols réguliers sur Parakou et des vols à la demande à l'intérieur du Bénin et dans la ...,benin airlines,
beOnd,https://linkedin.com/company/flybeond,beOnd is the World's First Premium Leisure Airline. Our vision is to take people on their journey to the best places on Earth. So travel with us and fly above ...,beond,
Bering Air,https://linkedin.com/company/bering-marine-corp,"Bering Marine Corporation provides highly specialized, contracted marine services to reach water-locked villages and other remote Alaska locations.",bering air,
Berjaya Air,https://linkedin.com/company/berjaya-air,Berjaya Air was established in 1989 as part of Berjaya Group with scheduled operations based in Subang. Operating solely out of Subang Skypark Terminal.,berjaya air,
BermudAir,https://linkedin.com/company/flybermudair,"BermudAir is a boutique airline that offers corporate and leisure travellers short, nonstop flights between Bermuda, the East Coast US, South Florida, Toronto, ...",bermudair,
Berniq Airways,https://linkedin.com/company/berniq-airways/,شركة طيران ليبية مساهمة تأسست عام 2018 برأس مال 500 مليون دينار ليبي. Website: https://berniq.aero. External link for Berniq Airways.,berniq airways,
Berry Aviation,https://linkedin.com/company/berry-aviation-inc,"Berry Aviation, Inc. (BAI), a member of Acorn Growth Companies, is an FAA Part 135 Air Carrier established in 1983.",berry aviation,
Best Jets International,https://linkedin.com/company/best-jets-international,"Founded in 1995, Best Jets International is a full-service Part 135 air charter and aircraft management company. What began as a Part 91 operation with one ...",best jets international,
Bestfly Aruba,https://linkedin.com/company/bestfly,BESTFLY. Fabricação de aeronaves. http://www.bestfly.aero/. Seguir · Denunciar esta empresa; Close menu. Visualizar todos os 235 funcionários. Sobre nós.,bestfly aruba,
Bhutan Airlines,https://linkedin.com/company/bhutan-airlines---thailand,Fly with us to the land of happiness! บริษัท โอ เอ็ม จี เอ็กซ์พีเรียนซ์ (ภูฏานแอร์ไลน์ ประเทศไทย - Bhutan Airlines Thailand) ตัวแทนจำหน่ายบัตรโดยสาร สายการบินภูฏาน และ แหล่ง ...,bhutan airlines,
Big Bend Community College Aviation,https://linkedin.com/company/port-of-moses-lake,"... Big Bend Community College Aviation Maintenance Technology program, AeroTEC - Aerospace Testing Engineering & Certification Inc., Port of Moses Lake Fire ...",big bend community college aviation,
Bighorn Airways,https://linkedin.com/company/bighornairways,"With over 70 years of aviation experience, Bighorn Airways Inc. has established itself as a leader in the industry. Our diverse fleet includes Casa-212, ...",bighorn airways,
Biman Bangladesh Airlines,https://linkedin.com/company/biman-bangladesh-airlines,"Biman Bangladesh Airlines Ltd the national flag carrier of Bangladesh has started its journey from scratch virtually with no aircraft, no ancilliaries.",biman bangladesh airlines,
BinAir,https://linkedin.com/company/binair-aero-service-gmbh,"Since 1996 BinAir is the airline which focuses on you spezial requirements, every day, worldwide and tghe flexibility of Europe´s largest Metro Fleet of 15 ...",binair,
Binter Canarias,https://linkedin.com/company/binter-canarias,"BinterCanarias nació como compañía aérea regional, y en ese sentido es la única que opera actualmente en los ocho aeropuertos de Canarias. Desde el año 2005 ...",binter canarias,
Bioflight,https://linkedin.com/company/bioflight-a-s,BioFlight is an Aircraft Operator that has specialised in “Special missions” and Aerial Data Acquisition. Though our idealistic and ambitious approach to ...,bioflight,
Birdbase Aviation,,,birdbase aviation,
Blessings Aviation Charter,https://linkedin.com/company/skyaviationaero,"Our aviation services extend far beyond cargo transport, encompassing a comprehensive suite of passenger aircraft leasing options.",blessings aviation charter,
Blue Dart Aviation,https://linkedin.com/company/blue-dart-aviation-limited,Blue Dart is a leader in the domestic air express market specializing in time-definite scheduled freight services for overnight next day delivery.,blue dart aviation,
Blue Islands,https://linkedin.com/company/blue-islands,"Blue Islands is a privately and independently owned Channel Islands based regional airline, operating flights between the Channel Islands and to the UK.",blue islands,
Blue Square Aviation,https://linkedin.com/company/bluesquare-consulting,"Blue Square Consulting Ltd was established in 2003. We are a specialist financial recruitment consultancy designed to assist Fund Managers, ...",blue square aviation,
Bluebird Airways,https://linkedin.com/company/bluebird-airways,"Blue bird airways is a greek airline company, established on 2008. With a rapid growth and superior customer service. We shoot for the sky when it comes to top ...",bluebird airways,
Bluebird Aviation,https://linkedin.com/company/bluebirdaviation,"Bluebird Aviation is the leading provider for scheduled, non-scheduled and ad-hoc air charter services within the Eastern and Central African region and beyond.",bluebird aviation,
Bluesky Airways,https://linkedin.com/company/blue-sky-airways,Blue Sky Airways | 55 followers on LinkedIn. The Hunter Valley's premier air transport and flight training provider | We provide initial training on the ...,bluesky airways,
Boeing,https://linkedin.com/company/boeing,"As a leading global aerospace company, Boeing develops, manufactures and services commercial airplanes, defense products and space systems for customers in ...",boeing,
Boliviana de Aviacion,https://linkedin.com/company/boliviana-de-aviac%C3%B3n,"VISION «Boliviana de Aviación will contribute significantly to the achievement of the country's strategic objectives and the welfare of Bolivians, through ...",boliviana de aviacion,
Bookajet,https://linkedin.com/company/bookajet,"Bookajet is the world's most established private jet charter and management company, courtesy of an innovative approach, unparalleled experience, impeccable ...",bookajet,
Boutique Air,https://linkedin.com/company/boutique-air,"A boutique airline and charter service company serving passengers in the United States, Mexico, and Canada. We help people get around in style.",boutique air,
BRA,https://linkedin.com/company/the-sports-bra,"Founded in April 2022, The Sports Bra in Portland, Ore., is the world's first sports bar to only show women's sports.",bra,
Braspress Air Cargo,https://linkedin.com/company/braspress-air-cargo,A Braspress Air Cargo (BAC) chega ao mercado com o objetivo de elevar a regularidade e a confiabilidade do transporte aéreo de cargas no Brasil.,braspress air cargo,
Bravo Airways,https://linkedin.com/company/bravo-airways,Bravo Airways is an airlines company based in Ukraine. Website: http://www.bravoairways.com.ua/. External link for Bravo Airways. Industry: Aviation ...,bravo airways,
Brazil - Air Force,https://linkedin.com/company/brazil-defense-brief-bdb,"Brazil Defense Brief (BDB) is the go-to intelligence and monitoring service for decision-makers navigating the complexities of Brazil's Aerospace, Defense, ...",brazil - air force,
Brazil - Army,https://linkedin.com/company/exercito,"The Brazilian Army Mission is: Contribute to ensuring national sovereignty, constitutional powers, law and order, safeguarding national interests, and ...",brazil - army,
Brazil - Navy,https://linkedin.com/company/brazilian-navy,"The Brazilian Navy will be a modern, resourceful and motivated Force, with a high degree of technological independence, of a size compatible with Brazil's ...",brazil - navy,
Breeze Airways,https://linkedin.com/company/breeze-airways,"At Breeze, we're excited to bring affordable, premium leisure travel to Jacksonville Aviation Authority International Airport. Our latest commercial, filmed ...",breeze airways,
Bridger Aerospace,https://linkedin.com/company/bridger-enterprises,"We are the nation's most diverse and vertically integrated aerial firefighting task force, with specialized aircraft, a world-class team, and life-saving ...",bridger aerospace,
Brilliant Jet,https://linkedin.com/company/brilliant-jet-limited,"Established in 2015 with offices in Hong Kong , Beijing, Shanghai and Guangzhou. Solid team of management experts from the aviation sectors.",brilliant jet,
Bristow Helicopters,https://linkedin.com/company/bristow-group-inc,"Bristow is the world's leading provider of offshore oil and gas transportation, search and rescue (SAR) and aircraft support services to government and civil ...",bristow helicopters,
Bristow Nigeria,https://linkedin.com/company/bristow-group-inc,"Bristow is the world's leading provider of offshore oil and gas transportation, search and rescue (SAR) and aircraft support services to government and civil ...",bristow nigeria,
British Airways,https://linkedin.com/company/british-airways,"As a global airline and the UK's flag carrier, British Airways has been flying its customers to where they need to be for more than 100 years.",british airways,
British International Helicopters,https://linkedin.com/company/the-international-aviation-group,"Supplying helicopters and aircraft (civilian and military), Pilot and engineer training, Spares, Airline feasibility studies, MRO - build & operate to EASA ...",british international helicopters,
Bromma Air Maintenance,https://linkedin.com/company/bromma-air-maintenance-ab,"Bromma Air Maintenance was founded in 1979 by Ingemar Björk through the acquisition of Flygfirma I. Ehrenström, who had the Swedish agency for Gulfstream.",bromma air maintenance,
Brussels Airlines,https://linkedin.com/company/brussels-airlines,Brussels Airlines is the home carrier of Belgium and one of the four network airlines of the Lufthansa Group. It connects the European capital from Brussels ...,brussels airlines,
Budapest Aircraft Service,https://linkedin.com/company/base-airlines,"Our Company, the Budapest Aircraft Service Kft. (Ltd.) -in brief: BASe Airlines, was established by pilots and technical experts of aviation in December 1991.",budapest aircraft service,
Buddha Air,https://linkedin.com/company/buddha-air,Buddha Air is the leading domestic airlines of Nepal. We currently fly to 15 domestic and international destinations. We are the largest and longest ...,buddha air,
Buffalo Airways,https://linkedin.com/company/buffaloairways,"Buffalo Airways Ltd. is an Airlines/Aviation company located in 1000 Buffalo Drive, Hay River, NT, Canada.",buffalo airways,
Buffalo River Aviation,https://linkedin.com/company/buffalo-river-aviation,We are owner operators and manage your aviation assets with the same care and commitment to functional accountability as we do our own.,buffalo river aviation,
Bul Air,https://linkedin.com/company/bul-air,"A privately-owned company to provide the best in class quality, safety and comfort on charter services.",bul air,
Bulgaria - Air Force,https://linkedin.com/company/bulgarian-air-force,"ВВС са основен вид въоръжени сили, предназначени за участие в съвместни и самостоятелни операции, както в национален, така и в многонационален формат.",bulgaria - air force,
Bulgaria - Government,https://linkedin.com/company/ministry-of-foreign-affairs-of-the-republic-of-bulgaria,"The Republic of Bulgaria has an active, consistent and targeted policy for peace, stability, security, human rights, democracy and prosperity regionally and ...",bulgaria - government,
Bulgaria Air,https://linkedin.com/company/bulgaria-air,Bulgaria Air is the National air carrier of Republic of Bulgaria based at Sofia Airport /SOF/. The airline also operates scheduled and charter flights from ...,bulgaria air,
